Roll,Pitch,Direction
99,99,Motionless
99,99,Motionless
99,99,Motionless
99,99,Motionless
99,99,Motionless
99,99,Motionless
99,99,Motionless
99,99,Motionless
99,99,Motionless
99,99,Motionless
99,99,Motionless
99,99,Motionless
97,99,Motionless
96,100,Motionless
96,99,Motionless
96,100,Motionless
95,100,Motionless
95,100,Motionless
94,101,Motionless
94,101,Motionless
94,101,Motionless
94,101,Motionless
95,101,Motionless
98,100,Motionless
100,99,Motionless
101,99,Motionless
102,99,Motionless
102,99,Motionless
102,99,Motionless
102,99,Motionless
102,99,Motionless
102,99,Motionless
102,99,Motionless
102,99,Motionless
102,99,Motionless
102,99,Motionless
102,99,Motionless
102,99,Motionless
102,99,Motionless
102,99,Motionless
102,99,Motionless
101,99,Motionless
101,99,Motionless
101,99,Motionless
102,99,Motionless
101,99,Motionless
102,99,Motionless
102,99,Motionless
101,99,Motionless
101,99,Motionless
101,99,Motionless
101,99,Motionless
101,99,Motionless
101,99,Motionless
101,99,Motionless
101,99,Motionless
101,99,Motionless
101,99,Motionless
101,99,Motionless
102,99,Motionless
103,99,Motionless
105,99,Motionless
106,100,Motionless
108,100,Motionless
109,100,Motionless
107,99,Motionless
102,99,Motionless
99,99,Motionless
98,100,Motionless
98,99,Motionless
98,100,Motionless
98,100,Motionless
98,99,Motionless
98,99,Motionless
98,99,Motionless
98,99,Motionless
98,100,Motionless
98,100,Motionless
98,100,Motionless
98,100,Motionless
98,100,Motionless
98,100,Motionless
96,100,Motionless
94,101,Motionless
93,101,Motionless
92,101,Motionless
92,101,Motionless
91,101,Motionless
92,102,Motionless
92,101,Motionless
92,101,Motionless
92,101,Motionless
93,101,Motionless
93,101,Motionless
93,101,Motionless
93,101,Motionless
94,101,Motionless
94,101,Motionless
94,101,Motionless
95,101,Motionless
96,101,Motionless
99,100,Motionless
101,100,Motionless
103,100,Motionless
103,101,Motionless
103,101,Motionless
103,101,Motionless
103,100,Motionless
103,101,Motionless
102,100,Motionless
102,100,Motionless
102,100,Motionless
102,100,Motionless
102,100,Motionless
102,100,Motionless
102,100,Motionless
102,100,Motionless
102,100,Motionless
102,100,Motionless
102,100,Motionless
102,100,Motionless
102,100,Motionless
102,100,Motionless
102,100,Motionless
102,100,Motionless
